id;sentencas;documento
1;['A aviação de Israel realizou durante a madrugada desta segunda-feira, dia 7, ataques a 150 alvos no Líbano.', 'Enquanto isso, soldados israelenses mataram 10 integrantes da milícia do Hezbollah.', 'Durante este domingo, dia 6, foram travadas lugas sangrentas.', 'Os foguetes e ataques do Hezbollah causaram a morte de 15 pessoas e deixaram mais de 200 feridas.', 'Já o Exército de Israel provocaram a morte de 30 militantes do Hezbollah.', 'Comandos israelenses mataram outros três guerrilheiros libaneses na cidade de Tiro, onde destruíram sete plataformas de lançamento de foguetes, informaram as fontes israelenses.'];A aviação de Israel realizou durante a madrugada desta segunda-feira, dia 7, ataques a 150 alvos no Líbano. Enquanto isso, soldados israelenses mataram 10 integrantes da milícia do Hezbollah. Durante este domingo, dia 6, foram travadas lugas sangrentas. Os foguetes e ataques do Hezbollah causaram a morte de 15 pessoas e deixaram mais de 200 feridas. Já o Exército de Israel provocaram a morte de 30 militantes do Hezbollah. Comandos israelenses mataram outros três guerrilheiros libaneses na cidade de Tiro, onde destruíram sete plataformas de lançamento de foguetes, informaram as fontes israelenses.
3;['Israel ataca 150 alvos no Líbano e intensifica ofensiva'];Israel ataca 150 alvos no Líbano e intensifica ofensiva
5;['Israel lança série de ataques aéreos contra o Líbano'];Israel lança série de ataques aéreos contra o Líbano
6;['Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista.', 'Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros.', 'Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado.', 'As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo.', 'Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André.', 'Na capital, houve ataques a outros quatro ônibus.', 'Uma bomba caseira foi atirada contra a sede do Ministério Público (MP).', 'A rua foi interditada pela polícia.', 'A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão.', 'No momento, apenas um taxista e um passageiro estavam na rua.', 'O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras.', 'Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais.', 'O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto.', 'A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.'];Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista. Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros. Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado. As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo. Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André. Na capital, houve ataques a outros quatro ônibus. Uma bomba caseira foi atirada contra a sede do Ministério Público (MP). A rua foi interditada pela polícia. A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão. No momento, apenas um taxista e um passageiro estavam na rua. O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras. Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais. O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto. A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.
7;['PCC realiza nova onda de ataques e sede do MP é atingida por bomba'];PCC realiza nova onda de ataques e sede do MP é atingida por bomba
9;['Bomba atinge MP de SP em novos ataques do PCC'];Bomba atinge MP de SP em novos ataques do PCC
10;['SÃO PAULO - O estado de São Paulo voltou a sofrer com os ataques contra postos policiais, agências bancárias e ônibus, na madrugada desta segunda-feira.', 'As ações são atribuídas à facção criminosa', 'Primeiro', 'Comando da Capital (PCC), que já comandou outros ataques em duas ocasiões.', 'Os ataques desta madrugada, até agora, não deixaram mortos ou feridos.', 'Uma bomba de fabricação caseira explodiu em frente ao prédio do Ministério Público Estadual e lojas vizinhas também foram atingidas por estilhaços.', 'A rua está interditada para a perícia e, aos poucos, os comerciantes são autorizados a entrar em seus estabelecimentos.', 'A Secretaria da Fazenda também foi atingida por uma bomba.', 'Duas bases da Guarda Civil Metropolitana (GCM), sendo uma no Capão Redondo, Zona Sul de São Paulo, foram alvo dos criminosos.', 'Mais de dez agências bancárias, um posto de gasolina e um supermercado foram atacados.', 'Calcula-se em 15 o número de ônibus incendiados, sendo dez na região do ABC e quatro na capital.', 'Mesmo assim, o sistema de transporte coletivo da cidade está normal nesta manhã.', 'A rua onde fica o Departamento de Investigações Sobre o Crime Organizado (Deic) foi bloqueada e a passagem de veículos está proibida.'];SÃO PAULO - O estado de São Paulo voltou a sofrer com os ataques contra postos policiais, agências bancárias e ônibus, na madrugada desta segunda-feira. As ações são atribuídas à facção criminosa Primeiro Comando da Capital (PCC), que já comandou outros ataques em duas ocasiões. Os ataques desta madrugada, até agora, não deixaram mortos ou feridos. Uma bomba de fabricação caseira explodiu em frente ao prédio do Ministério Público Estadual e lojas vizinhas também foram atingidas por estilhaços. A rua está interditada para a perícia e, aos poucos, os comerciantes são autorizados a entrar em seus estabelecimentos. A Secretaria da Fazenda também foi atingida por uma bomba. Duas bases da Guarda Civil Metropolitana (GCM), sendo uma no Capão Redondo, Zona Sul de São Paulo, foram alvo dos criminosos. Mais de dez agências bancárias, um posto de gasolina e um supermercado foram atacados. Calcula-se em 15 o número de ônibus incendiados, sendo dez na região do ABC e quatro na capital. Mesmo assim, o sistema de transporte coletivo da cidade está normal nesta manhã. A rua onde fica o Departamento de Investigações Sobre o Crime Organizado (Deic) foi bloqueada e a passagem de veículos está proibida.
11;"['Um total de 549 pessoas morreram, 3.043 ficaram feridas e 295 estão desaparecidas em razão das enchentes que recentemente afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang.', 'Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão (próxima ao regime comunista da Coréia do Norte), as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"".', 'No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte.', 'Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos.', 'A Federação Internacional da Cruz Vermelha afirmou na sexta-feira (4) que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações.', 'Apesar de o governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior.', 'A agência sul-coreana Yonhap disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país.', 'As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento.', 'Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre 1 milhão e 2,5 milhões de pessoas, segundo diferentes dados.', 'A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos.', 'No entanto, depois de conhecer a dimensão das inundações, o governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia.']";"Um total de 549 pessoas morreram, 3.043 ficaram feridas e 295 estão desaparecidas em razão das enchentes que recentemente afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang. Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão (próxima ao regime comunista da Coréia do Norte), as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"". No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte. Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos. A Federação Internacional da Cruz Vermelha afirmou na sexta-feira (4) que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações. Apesar de o governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior. A agência sul-coreana Yonhap disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país. As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento. Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre 1 milhão e 2,5 milhões de pessoas, segundo diferentes dados. A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos. No entanto, depois de conhecer a dimensão das inundações, o governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia."
12;['Enchentes deixam 549 mortos e 3.043 feridos na Coréia do Norte'];Enchentes deixam 549 mortos e 3.043 feridos na Coréia do Norte
13;"['Já está em 549 mortos e 295 desaparecidas com as inundações que afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang.', 'Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão, que é próxima ao regime comunista da Coréia do Norte, as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"".', 'No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte.', 'Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos.', 'A Federação Internacional da Cruz Vermelha indicou na sexta-feira que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações.', 'Apesar de o Governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior.', 'A agência sul-coreana ""Yonhap"" disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país.', 'As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento.', 'Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre um milhão e 2,5 milhões de pessoas, segundo diferentes dados.', 'A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos em um gesto de desafio.', 'No entanto, depois de conhecer a dimensão das inundações, o Governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia.']";"Já está em 549 mortos e 295 desaparecidas com as inundações que afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang. Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão, que é próxima ao regime comunista da Coréia do Norte, as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"". No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte. Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos. A Federação Internacional da Cruz Vermelha indicou na sexta-feira que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações. Apesar de o Governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior. A agência sul-coreana ""Yonhap"" disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país. As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento. Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre um milhão e 2,5 milhões de pessoas, segundo diferentes dados. A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos em um gesto de desafio. No entanto, depois de conhecer a dimensão das inundações, o Governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia."
