id;ner_documento
1;[[0, [['Israel', 'LOC', 13, 19], ['Líbano', 'LOC', 100, 106]]], [1, [['Hezbollah', 'ORG', 73, 82]]], [2, []], [3, [['Hezbollah', 'ORG', 25, 34]]], [4, [['Exército de Israel', 'ORG', 5, 23], ['Hezbollah', 'ORG', 63, 72]]], [5, [['Tiro', 'LOC', 78, 82]]]]
3;[[0, [['Israel', 'LOC', 0, 6], ['Líbano', 'LOC', 26, 32]]]]
5;[[0, [['Israel', 'LOC', 0, 6], ['Líbano', 'LOC', 46, 52]]]]
6;[[0, [['São Paulo', 'LOC', 96, 105]]], [1, []], [2, [['Ministério Público', 'LOC', 48, 66]]], [3, [['Primeiro Comando da Capital', 'MISC', 62, 89], ['PCC', 'ORG', 91, 94], ['Estado de São Paulo', 'LOC', 140, 159], ['Dia dos Pais', 'MISC', 163, 175]]], [4, [['ABC Paulista', 'LOC', 13, 25], ['Mauá', 'LOC', 76, 80], ['Santo André', 'LOC', 91, 102]]], [5, []], [6, [['Ministério Público', 'LOC', 47, 65], ['MP', 'ORG', 67, 69]]], [7, []], [8, []], [9, []], [10, [['Fazenda', 'LOC', 26, 33]]], [11, [['PCC', 'ORG', 31, 34], ['Ministério Público de São Paulo', 'LOC', 84, 115], ['Dia dos Pais', 'MISC', 167, 179]]], [12, [['Ministério Público', 'LOC', 56, 74]]], [13, [['Vara de Execuções Criminais do Estado', 'LOC', 2, 39]]]]
7;[[0, [['PCC', 'ORG', 0, 3], ['MP', 'MISC', 43, 45]]]]
9;[[0, [['Bomba', 'LOC', 0, 5], ['SP', 'LOC', 19, 21], ['PCC', 'ORG', 42, 45]]]]
10;[[0, [['SÃO PAULO', 'MISC', 0, 9], ['estado de São Paulo', 'LOC', 14, 33]]], [1, []], [2, []], [3, [['Comando da Capital', 'LOC', 0, 18], ['PCC', 'ORG', 20, 23]]], [4, []], [5, [['Ministério Público Estadual', 'LOC', 64, 91]]], [6, []], [7, [['Secretaria da Fazenda', 'LOC', 2, 23]]], [8, [['Guarda Civil Metropolitana', 'ORG', 14, 40], ['GCM', 'ORG', 42, 45], ['Capão Redondo', 'LOC', 61, 74], ['Zona Sul de São Paulo', 'LOC', 76, 97]]], [9, []], [10, [['ABC', 'LOC', 72, 75]]], [11, []], [12, [['Departamento de Investigações Sobre o Crime Organizado', 'ORG', 18, 72], ['Deic', 'LOC', 74, 78]]]]
11;[[0, [['Coréia do Norte', 'LOC', 133, 148], ['Japão', 'LOC', 205, 210], ['Pyongyang', 'LOC', 241, 250]]], [1, [['Choson Sinbo', 'MISC', 18, 30], ['Associação de Residentes Coreanos', 'ORG', 48, 81], ['Japão', 'LOC', 85, 90], ['Coréia do Norte', 'LOC', 123, 138]]], [2, [['Coréia do Norte', 'LOC', 165, 180]]], [3, [['Choson Sinbo', 'MISC', 45, 57]]], [4, [['Federação Internacional da Cruz Vermelha', 'ORG', 2, 42]]], [5, []], [6, [['Yonhap', 'ORG', 22, 28], ['Pyongyang', 'LOC', 77, 86]]], [7, [['Coréia do Norte', 'LOC', 65, 80]]], [8, []], [9, [['Coréia do Sul', 'LOC', 2, 15]]], [10, [['Seul', 'LOC', 71, 75], ['Coréia do Norte', 'LOC', 125, 140]]]]
12;[[0, [['Coréia do Norte', 'LOC', 47, 62]]]]
13;[[0, [['Coréia do Norte', 'LOC', 75, 90], ['Japão', 'LOC', 147, 152], ['Pyongyang', 'LOC', 183, 192]]], [1, [['Choson Sinbo', 'MISC', 18, 30], ['Associação de Residentes Coreanos', 'ORG', 48, 81], ['Japão', 'LOC', 85, 90], ['Coréia do Norte', 'LOC', 129, 144]]], [2, [['Coréia do Norte', 'LOC', 165, 180]]], [3, [['Choson Sinbo', 'MISC', 45, 57]]], [4, [['Federação Internacional da Cruz Vermelha', 'ORG', 2, 42]]], [5, [['Governo', 'LOC', 12, 19]]], [6, [['Yonhap', 'ORG', 23, 29], ['Pyongyang', 'LOC', 79, 88]]], [7, [['Coréia do Norte', 'LOC', 65, 80]]], [8, []], [9, [['Coréia do Sul', 'LOC', 2, 15]]], [10, [['Governo de Seul', 'LOC', 60, 75], ['Coréia do Norte', 'LOC', 125, 140]]]]
