id;documento
1;A aviação de Israel realizou durante a madrugada desta segunda-feira, dia 7, ataques a 150 alvos no Líbano. Enquanto isso, soldados israelenses mataram 10 integrantes da milícia do Hezbollah. Durante este domingo, dia 6, foram travadas lugas sangrentas. Os foguetes e ataques do Hezbollah causaram a morte de 15 pessoas e deixaram mais de 200 feridas. Já o Exército de Israel provocaram a morte de 30 militantes do Hezbollah. Comandos israelenses mataram outros três guerrilheiros libaneses na cidade de Tiro, onde destruíram sete plataformas de lançamento de foguetes, informaram as fontes israelenses.
2;"A aviação israelense atacou 150 alvos na madrugada de hoje no Líbano, enquanto soldados do Estado judeu mataram 10 milicianos do Hisbolá nas aldeias libanesas de Bint Djebeil e Kafr Hula, segundo informações de fontes militares. Os combates se intensificaram hoje após a sangrenta batalha deste domingo, quando a guerrilha xiita do Hezbolá matou 15 pessoas e deixou mais de 200 feridas, entre militares e civis. Por sua parte, as forças militares de Israel no sul do Líbano informaram que também no domingo foram mortos 30 milicianos do Hezbolá, enquanto um oficial e dois soldados israelenses ficaram feridos hoje em Oleado. Comandos israelenses mataram outros três guerrilheiros libaneses na cidade de Tiro, onde destruíram sete plataformas de lançamento de foguetes, informaram as fontes israelenses. O primeiro-ministro de Israel, Ehud Olmert, realizará hoje consultas com seu vice-primeiro-ministro, Shimon Peres, e com os titulares da Defesa, Amir Peretz, e de Exteriores, Tzipi Livni, entre outros, a fim de analisar o agravamento da situação dos conflitos, que não possibilitaram o fim dos ataques do Hezbolá a Israel. Segundo fontes militares e policiais, os milicianos do Hisbolá já dispararam aproximadamente 2,7 mil foguetes Katyusha e mísseis de diferentes alcances contra território israelense desde de o início dos conflitos, que chega hoje ao seu 27º dia. De acordo com um porta-voz militar, o Hezbolá contava com pelo menos 11 mil mísseis e foguetes ""apontados contra Israel"" no começo as hostilidades. Além disso, a rádio pública israelense informou que uma fonte do Governo, que não quis revelar sua identidade, assinalou que essas operações podem estender-se até o rio Litani, a 30 quilômetros da fronteira entre os dois países. As operações por terra, que contam com a participação de aproximadamente dez mil efetivos, têm como missão criar uma ""zona militar especial"" ao longo da fronteira entre os dois países, de 110 quilômetros, para afastar os milicianos islâmicos do Hisbolá de Israel. A intenção declarada do Governo israelense é ceder essa zona de segurança a uma força multinacional, que garanta seu controle e apóie às forças do Exército libanês nesse propósito. A esse respeito, o Conselho de Segurança da ONU debaterá hoje ou amanhã uma proposta de resolução apresentada pelos Estados Unidos e pela França, que contempla um cessar-fogo e inclui também o posicionamento de uma força multinacional no Líbano. Aparentemente, Israel estaria disposto a aceitar a resolução, mas o presidente do Parlamento libanês, Nabih Berri, declarou neste domingo que seu país rejeita a proposta. ""Todo o Líbano rejeita a minuta de resolução e exige que ela seja reconsiderada, para que haja uma harmonia com o plano de sete pontos aprovado pelo governo libanês e suas comunidades"", afirmou Berri, em entrevista coletiva em Beirute. ""Aceitar esta minuta de resolução significaria que as tropas israelenses poderiam seguir ocupando as zonas que já ocupam agora"", concluiu."
3;Israel ataca 150 alvos no Líbano e intensifica ofensiva
4;"A Força Aérea israelense lançou uma série de bombardeios contra o Líbano nesta segunda-feira. Foram atingidos alvos no leste do país, entre eles um dos redutos do Hezbollah, Baalbek, no vale do Bekaa, nos subúrbios do lado sul de Beirute e na cidade portuária de Tiro. As autoridades libanesas estimam o número de mortos em 11 civis, seis deles integrantes da mesma família. De acordo com um correspondente da BBC em Tiro, John Simpson, a cidade, na qual ficaram apenas cerca de 3 mil pessoas, ficou completamente isolada depois dos últimos ataques de Israel. Os militares isralenses justificaram os ataques, afirmando que eram necessários porque o grupo militante Hezbollah continua a lançar mísseis contra ""alvos civis"" em Israel. As tropas de infantaria de Israel também entraram em combates com homens do Hezbollah nesta segunda-feira, no povoado de Houla, no sul do Líbano. A ofensiva israelense foi lançada depois de uma seqüência de ataques do Hezbollah no domingo que causou as maiores baixas para Israel nas quatro semanas do conflito. Pelo menos quinze soldados israelenses morreram  doze deles, reservistas  no norte de Israel, na cidade de Kfar Giladi, ao serem atingidos por um míssil do Hezbollah. Outros nove ficaram feridos. O míssil do Hezbollah teria atingido um prédio na cidade, perto da fronteira com o Líbano, onde se encontravam os reservistas, recém-convocados para a ativa. Na cidade de Haifa, os mísseis do Hezbollah mataram pelo menos três civis. Segundo a agência de notícias France Presse, os mortos eram todos moradores de um kibbutz ao norte de Israel. Testemunhas disseram que os disparos de mísseis feitos pelo Hezbollah duraram cerca de 15 minutos. O Líbano apresentou um pedido formal ao Conselho de Segurança da Organização das Nações Unidas (ONU) de uma revisão da proposta de resolução para o fim do conflito no Oriente Médio. O representate do Líbano na ONU, Nouhad Mahmoud, disse que submeteu uma emenda ao esboço franco-americano, pedido que as forças israelenses se retirem do território libanês. O Líbano também apresentou objeções à forma como o texto lida com disputas territoriais e à questão dos prisioneiros mantidos em ambos os lados. Mas o embaixador da Rússia na ONU, Vitaly Churkin, disse que um acordo ainda está distante, e pediu ao governo libanês que reconheça que as suas preocupações estão sendo atendidas implicitamente no texto da resolução. As discussões em torno da proposta devem prosseguir nesta segunda-feira na sede da ONU, em Nova York."
5;Israel lança série de ataques aéreos contra o Líbano
6;Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista. Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros. Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado. As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo. Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André. Na capital, houve ataques a outros quatro ônibus. Uma bomba caseira foi atirada contra a sede do Ministério Público (MP). A rua foi interditada pela polícia. A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão. No momento, apenas um taxista e um passageiro estavam na rua. O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras. Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais. O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto. A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.
7;PCC realiza nova onda de ataques e sede do MP é atingida por bomba
8;A cidade de São Paulo e alguns municípios do interior paulista foram atingidos na madrugada desta segunda-feira por novos atentados com bombas e tiros contra agências bancárias, bases policiais e prédios públicos. Pelo menos oito ataques foram confirmados. Uma bomba caseira foi jogada contra o prédio do Ministério Público, no centro da capital, mas não deixou feridos. A promessa de lideranças do Primeiro Comando da Capital (PCC) de retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo, aparentemente começou a ser cumprida na madrugada de hoje. Cidades do interior como Jundiaí foram alvo de ataques atribuídos à facção criminosa, com pelo menos um coletivo incendiado. Na região do ABC Paulista, segundo a Globonews, pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André. Na capital, houve ataques a outros quatro ônibus. Até o momento, não há registro de feridos. Na capital, a SPTRans confirmou o recolhimento de carros de pelo menos duas empresas de microônibus por temor de ataques, na zona leste. Ontem, representantes das lotações teriam recebido ameaças caso mantivessem os carros nas ruas. Os ônibus elétricos da zona leste também pararam de funcionar depois que uma rede foi rompida na estação São Mateus. Os ônibus estão indo apenas até a estação Carrão. Segundo a SPTrans, as demais empresas de ônibus, trens e metrô funcionam normalmente. Os alvos na capital incluem a sede do Ministério Público (MP), na rua Riachuelo, centro, contra a qual foi jogada uma bomba de fabricação caseira, por volta das 5h. A rua foi interditada e a perícia está fazendo a vistoria no local. A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão. No momento, apenas um taxista e um passageiro estavam na rua. O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras. Houve atentado também contra o prédio da inspetoria da Guarda Civil Metropolitana (GCM), em Campo Limpo. Outra base da GCM foi atingida em Osasco. Cinco viaturas do Departamento de Investigações sobre o Crime Organizado (Deic) foram incendiadas. Pelo menos 14 agências bancárias também foram danificadas na cidade, segundo a Globonews. Uma delas foi invadida por um carro. Na Marginal Tietê, próximo à ponte da Casa Verde, zona leste, um posto de gasolina foi incendiado. De acordo com o dono do estabelecimento, três homens armados anunciaram o assalto, levaram o dinheiro, e um dos bandidos colocou fogo no posto, que ficou parcialmente destruído. Outros dois postos teriam sido atingidos no bairro Higienópolis, segundo a rádio CBN. Na zona leste, dois homens foram presos por suspeita de participação no assalto a um posto de gasolina. Com eles, a polícia apreendeu uma metralhadora e uma espingarda calibre 14. Integrantes do PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais. O benefício depende de decisão judicial
9;Bomba atinge MP de SP em novos ataques do PCC
10;SÃO PAULO - O estado de São Paulo voltou a sofrer com os ataques contra postos policiais, agências bancárias e ônibus, na madrugada desta segunda-feira. As ações são atribuídas à facção criminosa Primeiro Comando da Capital (PCC), que já comandou outros ataques em duas ocasiões. Os ataques desta madrugada, até agora, não deixaram mortos ou feridos. Uma bomba de fabricação caseira explodiu em frente ao prédio do Ministério Público Estadual e lojas vizinhas também foram atingidas por estilhaços. A rua está interditada para a perícia e, aos poucos, os comerciantes são autorizados a entrar em seus estabelecimentos. A Secretaria da Fazenda também foi atingida por uma bomba. Duas bases da Guarda Civil Metropolitana (GCM), sendo uma no Capão Redondo, Zona Sul de São Paulo, foram alvo dos criminosos. Mais de dez agências bancárias, um posto de gasolina e um supermercado foram atacados. Calcula-se em 15 o número de ônibus incendiados, sendo dez na região do ABC e quatro na capital. Mesmo assim, o sistema de transporte coletivo da cidade está normal nesta manhã. A rua onde fica o Departamento de Investigações Sobre o Crime Organizado (Deic) foi bloqueada e a passagem de veículos está proibida.
